issuerId;ISSUER_NAME;ISSUER_TICKER;ISSUER_CNTRY_DOMICILE_NAME;ISSUER_CNTRY_DOMICILE;IVA_INDUSTRY;IVA_INDUSTRY_CODE;GICS_SUB_IND;IVA_COMPANY_RATING;INDUSTRY_ADJUSTED_SCORE;AGR_RATING;GOVERNANCE_SCORE;OVERALL_FLAG;ABORT_TIE;CONTRA_TIE;AE_TIE;ALC_TIE;FIREARM_TIE;GAM_TIE;NUC_TIE;TOB_TIE;WEAP_GTIE;CB_TIE;LM_TIE
IID000000002677520;7-ELEVEN MALAYSIA HOLDINGS BERHAD;SEM;Malaysia;MY;Retail - Food & Staples;15697;Food Retail;;;Average;;;;;;true;;;;true;;;
IID000000002155368;888 Holdings Public Limited Company;888;GIBRALTAR;GI;Casinos & Gaming;15692;Casinos & Gaming;AA;7.7;Average;6.70;Yellow;;;;;;true;;;;;
IID000000002132527;8X8, INC.;EGHT;United States of America;US;Software & Services;15356;Application Software;BB;3.8;Average;6.60;Green;;;;;;;;;;;
IID000000002681403;99 CENTS ONLY STORES LLC;NMBRH;United States of America;US;Retail - Consumer Discretionary;15696;General Merchandise Stores;;;;;;;;;true;;;;;;;
IID000000002155516;A E C I LIMITED;AFE;South Africa;ZA;Specialty Chemicals;12945;Specialty Chemicals;A;6.0;Aggressive;7.20;Green;;;;;;;;;;;
IID000000002130123;A Tsokkos Hotels Public Ltd;TSH;Cyprus;CY;Hotels & Travel;15691;Hotels, Resorts & Cruise Lines;;;Aggressive;;;;;;true;;;;;;;
IID000000002155411;A. O. SMITH CORPORATION;AOS;United States of America;US;Building Products;12894;Building Products;BB;3.9;Average;3.70;Green;;;;;;;;;;;
IID000000002155407;A.G. BARR P.L.C.;BAG;United Kingdom;GB;Beverages;15689;Soft Drinks;BBB;5.1;Conservative;8.50;Green;;;;true;;;;;;;
IID000000002155677;A.P. MOELLER - MAERSK A/S;MAERSK B;Denmark;DK;Marine Transport;15358;Marine;BBB;5.4;Average;5.60;Yellow;;;;;;;;;;;
IID000000002687155;A10 NETWORKS, INC.;ATEN;United States of America;US;Software & Services;15356;Systems Software;BB;3.5;Aggressive;4.70;Green;;;;;;;;;;;
IID000000002150076;A2 Milk Company Ltd;ATM;New Zealand;NZ;Food Products;12915;Packaged Foods & Meats;BB;4.1;Average;7.50;Yellow;;;;;;;;;;;
IID000000002704232;AA PLC;AA.;United Kingdom;GB;Diversified Consumer Services;14519;Specialized Consumer Services;A;6.9;Very Aggressive;7.10;Green;;;;;;;;;;;
IID000000002706254;AAC HOLDINGS, INC.;AAC;United States of America;US;Health Care Providers & Services;12918;Health Care Facilities;;;Aggressive;5.70;Green;;;;;;;;;;;
IID000000002155418;AAC TECHNOLOGIES HOLDINGS INC.;2018;China;CN;Electronic Equipment, Instruments & Components;12911;Electronic Manufacturing Services;BBB;5.0;;5.90;Green;;;;;;;;;;;
IID000000002157905;AAK PROGRESS PAO;aakp;Russia;RU;;;;;;;;;;;;;;;;;true;;
IID000000002155889;AAON, INC.';AAON;United States of America;US;Building Products;12894;Building Products;A;6.6;Average;7.10;Green;;;;;;;;;;;
IID000000002155423;AAR CORP.;AIR;United States of America;US;Aerospace & Defense;12882;Aerospace & Defense;BB;4.1;Average;4.90;Green;;;;;;;;;true;;
IID000000002132048;AARON'S, INC.;AAN;United States of America;US;Retail - Consumer Discretionary;15696;Homefurnishing Retail;A;6.5;Average;6.50;Green;;;;;;;;;;;
IID000000002645870;ABB FINANCE (USA) INC.;ABBN;United States of America;US;;;;;;;;;;;;;;;true;;;;
IID000000002641957;ABB Finance B.V.;ABBN;Netherlands;NL;;;;;;;;;;;;;;;true;;;;
IID000000002155431;ABB India Limited;ABB;India;IN;Electrical Equipment;12910;Heavy Electrical Equipment;;;Conservative;4.50;Green;;;;;;;true;;;;
IID000000002123744;ABB Ltd;ABBN;Switzerland;CH;Electrical Equipment;12910;Electrical Components & Equipment;AA;7.5;Average;7.20;Yellow;;;;;;;true;;;;
IID000000002260311;ABB TREASURY CENTER (USA), INC.;ABBN;United States of America;US;Electronic Equipment, Instruments & Components;12911;Electronic Components;;;;;;;;;;;;true;;;;
IID000000002155916;ABBOTT LABORATORIES;ABT;United States of America;US;Health Care Equipment & Supplies;12917;Health Care Equipment;BB;3.1;Average;5.40;Yellow;;;;;;;;;;;
IID000000002655130;ABBVIE INC.;ABBV;United States of America;US;Biotechnology;12892;Biotechnology;BBB;5.6;Average;5.50;Yellow;;;;;;;;;;;
IID000000002140912;ABC-MART,INC.;2670;Japan;JP;Retail - Consumer Discretionary;15696;Apparel Retail;B;2.3;Aggressive;5.30;Green;;;;;;;;;;;
IID000000002155917;ABCAM PLC;ABC;United Kingdom;GB;Biotechnology;12892;Biotechnology;A;6.4;Average;7.50;Green;;;;;;;;;;;
IID000000002156017;ABEONA THERAPEUTICS INC.;ABEO;United States of America;US;Biotechnology;12892;Biotechnology;B;1.6;Aggressive;3.40;Green;;;;;;;;;;;
IID000000002155925;ABERCROMBIE & FITCH CO.;ANF;United States of America;US;Retail - Consumer Discretionary;15696;Apparel Retail;CCC;1.3;Conservative;6.50;Green;;;;;;;;;;;
IID000000002155936;ABERTIS INFRAESTRUCTURAS SA;ABFOF;Spain;ES;Transportation Infrastructure;15355;Highways & Railtracks;A;6.3;Very Aggressive;4.40;Green;;;;;;;true;;;;
IID000000002181918;ABI SAB GROUP HOLDING LIMITED;SBMRF;United Kingdom;GB;Beverages;15689;Brewers;;;;;;;;;true;;;;true;;;
IID000000002132119;ABIOMED, INC.;ABMD;United States of America;US;Health Care Equipment & Supplies;12917;Health Care Equipment;BBB;4.6;Average;4.00;Green;;;;;;;;;;;
IID000000002155953;ABLYNX N.V.;ABLYF;Belgium;BE;Biotechnology;12892;Biotechnology;;;;;;true;true;;;;;;;;;
IID000000002155441;ABM INDUSTRIES INCORPORATED;ABM;United States of America;US;Commercial Services & Supplies;12895;Environmental & Facilities Services;A;5.8;Average;7.00;Green;;;;;;;true;;;;
IID000000002589360;ABN AMRO Group N.V.;ABN;Netherlands;NL;Banks;15698;Diversified Banks;A;7.0;Average;6.00;Yellow;;;;;;;;;;;
IID000000002146248;ABOITIZ EQUITY VENTURES INC.;AEV;Philippines;PH;Industrial Conglomerates;12923;Industrial Conglomerates;BB;3.5;Aggressive;2.70;Green;;;;;;;;;;;
IID000000002147477;ABOITIZ POWER CORP.;AP;Philippines;PH;Utilities;15700;Independent Power Producers & Energy Traders;BB;3.3;Very Aggressive;0.50;Yellow;;;;;;;;;;;
IID000000002155963;ABRAXAS PETROLEUM CORPORATION;AXAS;United States of America;US;Oil & Gas Exploration & Production;12936;Oil & Gas Exploration & Production;;;Very Aggressive;3.80;Green;;;;;;;;;;;
IID000000002155451;ABSA GROUP LIMITED;ABG;South Africa;ZA;Banks;15698;Diversified Banks;A;7.0;Average;6.90;Yellow;;;;;;;;;;;
IID000000002586889;ACACIA MINING PLC;ACA;United Kingdom;GB;Metals and Mining - Precious Metals;15680;Gold;B;2.2;Very Aggressive;6.60;Red;;;;;;;;;;;
IID000000002155988;ACACIA RESEARCH CORPORATION;ACTG;United States of America;US;Professional Services;15695;Research & Consulting Services;;;Aggressive;4.70;Green;;;;;;;;;;;
IID000000002631010;ACADIA HEALTHCARE COMPANY, INC.;ACHC;United States of America;US;Health Care Providers & Services;12918;Health Care Facilities;BBB;4.9;Average;6.00;Yellow;;;;;;;;;;;
IID000000002155457;ACADIA PHARMACEUTICALS INC.;ACAD;United States of America;US;Biotechnology;12892;Biotechnology;A;6.0;Average;5.00;Green;;;;;;;;;;;
IID000000002155991;ACADIA REALTY TRUST;AKR;United States of America;US;Real Estate Management & Services;15699;Retail REITs;B;1.9;Aggressive;4.60;Green;;;;;;;;;;;
IID000000002658657;ACCELERATE DIAGNOSTICS, INC.;AXDX;United States of America;US;Health Care Equipment & Supplies;12917;Life Sciences Tools & Services;BBB;4.6;Aggressive;6.00;Green;;;;;;;;;;;
IID000000002132055;ACCENTURE PUBLIC LIMITED COMPANY;ACN;Ireland;IE;Software & Services;15356;IT Consulting & Other Services;AAA;10.0;Average;7.70;Orange;;;;;;;;;;;
IID000000002130268;ACCESS BANK PLC;ACCESS;Nigeria;NG;Banks;15698;Diversified Banks;A;6.3;Aggressive;4.90;Orange;;;;;;;;;;;
IID000000002155464;ACCO BRANDS CORPORATION;ACCO;United States of America;US;Commercial Services & Supplies;12895;Office Services & Supplies;BBB;5.0;Average;6.80;Green;;;;;;;;;;;
IID000000002148785;ACCOR S.A.;AC;France;FR;Hotels & Travel;15691;Hotels, Resorts & Cruise Lines;AA;7.3;;5.10;Green;;;;true;;true;;true;;;
IID000000002149575;ACCURAY INCORPORATED;ARAY;United States of America;US;Health Care Equipment & Supplies;12917;Health Care Equipment;BB;3.1;Average;5.10;Green;;;;;;;;;;;
IID000000002123974;ACER INCORPORATED;2353;Taiwan;TW;Technology Hardware, Storage & Peripherals;12898;Technology Hardware, Storage & Peripherals;AA;8.0;Average;5.40;Green;;;;;;;;;;;
IID000000002156053;ACETO CORPORATION;ACETQ;United States of America;US;Health Care Providers & Services;12918;Health Care Distributors;;;Very Aggressive;;;true;;;;;;;;;;
IID000000002685613;ACHAOGEN, INC.;AKAO;United States of America;US;Biotechnology;12892;Biotechnology;;;Average;4.80;Green;;;;;;;;;;;
IID000000002149544;ACHILLION PHARMACEUTICALS, INC.;ACHN;United States of America;US;Biotechnology;12892;Biotechnology;BBB;4.8;Aggressive;6.50;Green;;;;;;;;;;;
IID000000002147516;ACI WORLDWIDE, INC.;ACIW;United States of America;US;Software & Services;15356;Application Software;BBB;5.7;Aggressive;7.00;Green;;;;;;;;;;;
IID000000002818560;ACM Research Inc;ACMR;United States of America;US;Semiconductors & Semiconductor Equipment;12943;Semiconductor Equipment;;;Aggressive;6.10;Green;;;;;;;;;;;
IID000000002757656;ACME Laboratories Ltd;;Bangladesh;BD;Pharmaceuticals;12939;Pharmaceuticals;;;;;;true;;;;;;;;;;
IID000000002153435;ACNB CORPORATION;ACNB;United States of America;US;Banks;15698;Regional Banks;;;Conservative;6.70;Green;;;;;;;;;;;
IID000000002155483;ACOM CO., LTD.;8572;Japan;JP;Consumer Finance;15211;Consumer Finance;B;2.8;Conservative;2.30;Green;;;;;;;;;;;
IID000000002156070;ACORDA THERAPEUTICS, INC.;ACOR;United States of America;US;Biotechnology;12892;Biotechnology;B;1.6;Very Aggressive;3.60;Green;;;;;;;;;;;
IID000000002155484;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.;ACS;Spain;ES;Construction & Engineering;12899;Construction & Engineering;A;5.9;Conservative;5.60;Orange;;;;;;;true;;;;
IID000000002837377;ACS, Servicios Comunicaciones y Energia, S.L.;;Spain;ES;;;;;;;;;;;;;;;true;;;;
IID000000002156118;ACTIVISION BLIZZARD, INC.;ATVI;United States of America;US;Media & Entertainment;15706;Interactive Home Entertainment;BB;4.1;Average;5.70;Green;;;;;;;;;;;
IID000000002156122;ACTUANT CORPORATION;ATU;United States of America;US;Industrial Machinery;12924;Industrial Machinery;BBB;5.6;Average;6.80;Green;;;;;;;;;;;
IID000000002124159;ACUITY BRANDS, INC.;AYI;United States of America;US;Electrical Equipment;12910;Electrical Components & Equipment;A;6.9;Average;4.10;Green;;;;;;;;;;;
IID000000002777301;ACUSHNET HOLDINGS CORP.;GOLF;United States of America;US;Leisure Products;12932;Leisure Products;BB;3.6;Aggressive;3.50;Green;;;;;;;;;;;
IID000000002134228;ADAMIS PHARMACEUTICALS CORPORATION;ADMP;United States of America;US;Pharmaceuticals;12939;Pharmaceuticals;;;Aggressive;;;;true;;;;;;;;;
IID000000002130211;ADAMS RESOURCES & ENERGY, INC.;AE;United States of America;US;Oil & Gas Refining, Marketing, Transportation & Storage;12937;Oil & Gas Refining & Marketing;;;Average;5.70;Green;;;;;;;;;;;
IID000000002642902;ADANI ABBOT POINT TERMINAL PTY LTD;;Australia;AU;;;;;;;;;true;;;;;;;;;;
IID000000002176257;ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED;ADANIPORTS;India;IN;Transportation Infrastructure;15355;Marine Ports & Services;CCC;0.6;Average;2.00;Green;true;;;;;;;;;;
IID000000002451053;ADDUS HOMECARE CORPORATION;ADUS;United States of America;US;Health Care Providers & Services;12918;Health Care Services;A;6.9;Average;6.40;Green;;;;;;;;;;;
IID000000002156162;ADELAIDE BRIGHTON LTD.;ABC;Australia;AU;Construction Materials;12901;Construction Materials;BB;3.4;Average;7.40;Green;;;;;;;;;;;
IID000000002743990;ADESTO TECHNOLOGIES CORPORATION;IOTS;United States of America;US;Semiconductors & Semiconductor Equipment;12943;Semiconductors;;;Very Aggressive;5.60;Green;;;;;;;;;;;
IID000000002140458;ADIDAS AG;ADS;Germany;DE;Textiles, Apparel & Luxury Goods;13201;Apparel, Accessories & Luxury Goods;AAA;8.9;Average;6.20;Orange;;;;;;;;;;;
IID000000002772614;ADIENT PUBLIC LIMITED COMPANY;ADNT;Ireland;IE;Auto Components;12885;Auto Parts & Equipment;B;1.8;Very Aggressive;7.80;Green;;;;;;;;;;;
IID000000002153742;ADM Hamburg Aktiengesellschaft;OEL;Germany;DE;Food Products;12915;Agricultural Products;;;;;;;;;true;;;;true;;;
IID000000002677643;ADMA Biologics Inc;ADMA;United States of America;US;Biotechnology;12892;Biotechnology;;;Average;3.80;Green;;;;;;;;;;;
IID000000002156185;ADMIRAL GROUP PLC;ADM;United Kingdom;GB;Property & Casualty Insurance;15582;Property & Casualty Insurance;BB;4.0;Average;9.00;Green;;;;;;;;;;;
IID000000002149619;ADOBE INC.;ADBE;United States of America;US;Software & Services;15356;Application Software;AA;7.6;Aggressive;5.80;Green;;;;;;;;;;;
IID000000002154763;ADRIS GRUPA d.d.;ADRS-R-A;Croatia;HR;Industrial Conglomerates;12923;Industrial Conglomerates;;;Aggressive;;;;;;true;;;;;;;
IID000000002763527;ADT INC.;ADT;United States of America;US;Commercial Services & Supplies;12895;Security & Alarm Services;A;6.9;;4.90;Green;;;;;;;;;;;
IID000000002163773;ADTALEM GLOBAL EDUCATION INC.;ATGE;United States of America;US;Diversified Consumer Services;14519;Education Services;B;2.3;Aggressive;6.40;Orange;;;;;;;;;;;
IID000000002156208;ADTRAN, INC.;ADTN;United States of America;US;Technology Hardware, Storage & Peripherals;12898;Communications Equipment;A;6.0;Average;6.00;Green;;;;;;;;;;;
IID000000002156216;ADVANCE AUTO PARTS, INC.;AAP;United States of America;US;Retail - Consumer Discretionary;15696;Automotive Retail;BB;4.0;Very Aggressive;6.30;Green;;;;;;;;;;;
IID000000002156229;ADVANCE SYNERGY BERHAD;ASB;Malaysia;MY;Industrial Conglomerates;12923;Industrial Conglomerates;;;Average;;;;;;true;;;;;;;
IID000000002652875;ADVANCED DISPOSAL SERVICES, INC.;ADSW;United States of America;US;Commercial Services & Supplies;12895;Environmental & Facilities Services;B;2.2;Aggressive;6.40;Green;;;;;;;;;;;
IID000000002401367;ADVANCED DRAINAGE SYSTEMS, INC.;WMS;United States of America;US;Building Products;12894;Building Products;A;6.7;Average;6.40;Green;;;;;;;;;;;
IID000000002680913;ADVANCED EMISSIONS SOLUTIONS, INC.;ADES;United States of America;US;Specialty Chemicals;12945;Specialty Chemicals;;;Very Aggressive;5.70;Green;;;;;;;;;;;
IID000000002124737;ADVANCED ENERGY INDUSTRIES, INC.;AEIS;United States of America;US;Semiconductors & Semiconductor Equipment;12943;Semiconductor Equipment;B;1.8;Average;6.10;Green;;;;;;;;;;;
IID000000002124961;ADVANCED MEDICAL SOLUTIONS GROUP PLC;AMS;United Kingdom;GB;Health Care Equipment & Supplies;12917;Health Care Supplies;A;6.6;Average;8.60;Green;;;;;;;;;;;
IID000000002123799;ADVANCED MICRO DEVICES, INC.;AMD;United States of America;US;Semiconductors & Semiconductor Equipment;12943;Semiconductors;BBB;5.2;Average;6.00;Green;;;;;;true;;;;;
IID000000002135697;ADVANI HOTELS AND RESORTS (INDIA) LIMITED;ADVANIHOTR;India;IN;Hotels & Travel;15691;Hotels, Resorts & Cruise Lines;;;Conservative;;;;;;true;;true;;true;;;
IID000000002773384;ADVANSIX INC.;ASIX;United States of America;US;Commodity Chemicals;12896;Commodity Chemicals;B;1.7;Average;6.50;Green;;;;;;;;;;;
IID000000002156285;ADVANTECH Co., Ltd.;2395;Taiwan;TW;Technology Hardware, Storage & Peripherals;12898;Technology Hardware, Storage & Peripherals;BBB;5.6;Average;4.50;Green;;;;;;;;;;;
IID000000002682093;ADVERUM BIOTECHNOLOGIES, INC.;ADVM;United States of America;US;Biotechnology;12892;Biotechnology;;;Conservative;6.70;Green;;;;;;;;;;;
IID000000002865950;ADVOCATE HEALTH AND HOSPITALS CORPORATION;;United States of America;US;;;;;;;;;true;;;;;;;;;;
IID000000002156296;ADVTECH LIMITED;ADH;South Africa;ZA;Diversified Consumer Services;14519;Education Services;AAA;9.6;Average;8.20;Green;;;;;;;;;;;
IID000000002161862;AECC AVIATION POWER CO,LTD;600893;China;CN;Aerospace & Defense;12882;Aerospace & Defense;CCC;0.0;Average;3.90;Green;;;;;;;;;true;;
IID000000002155517;AECOM;ACM;United States of America;US;Construction & Engineering;12899;Construction & Engineering;AA;8.5;Aggressive;4.50;Green;;;;;;;true;;true;;
IID000000002156305;AEGEAN AIRLINES S.A.;AEGN;Greece;GR;Airlines;12884;Airlines;;;Conservative;;Green;;;;true;;;;;;;
IID000000002631024;AEGION CORPORATION;AEGN;United States of America;US;Construction & Engineering;12899;Construction & Engineering;A;6.8;Average;6.10;Green;;;;;;;;;;;
IID000000002152142;AEGON N.V.;AGN;Netherlands;NL;Life & Health Insurance;15580;Life & Health Insurance;AA;8.3;;6.70;Yellow;;;;;;;;;;;
IID000000002140390;AEON CO. (M) BHD.;AEON;Malaysia;MY;Retail - Consumer Discretionary;15696;General Merchandise Stores;;;Average;7.00;Green;;;;true;;;;true;;;
IID000000002156314;AEON CO.,LTD.;8267;Japan;JP;Retail - Food & Staples;15697;Hypermarkets & Super Centers;AA;8.1;Average;3.70;Green;;;;true;;;;true;;;
IID000000002154195;AEON Financial Service Co., Ltd.;8570;Japan;JP;Consumer Finance;15211;Consumer Finance;A;6.0;;2.50;Green;;;;;;;;;;;
IID000000002155522;AEON KYUSHU CO.,LTD.;2653;Japan;JP;Retail - Consumer Discretionary;15696;Department Stores;;;Average;;;;;;true;;;;true;;;
IID000000002155523;AEON Mall Co., Ltd.;8905;Japan;JP;Real Estate Management & Services;15699;Real Estate Operating Companies;BBB;5.1;Very Aggressive;2.80;Green;;;;true;;;;true;;;
IID000000002251295;AEP TEXAS INC.;AEP;United States of America;US;Utilities;15700;Electric Utilities;;;;1.20;Green;;;;;;;true;;;;
IID000000002678822;AERIE PHARMACEUTICALS, INC.;AERI;United States of America;US;Pharmaceuticals;12939;Pharmaceuticals;BBB;5.3;Average;5.40;Green;;;;;;;;;;;
IID000000002156326;AEROFLOT-ROSSIYSKIYE AVIALINII PAO;AFLT;Russia;RU;Airlines;12884;Airlines;B;2.6;Average;3.40;Yellow;;;;true;;;;true;;;
IID000000002167532;AEROJET ROCKETDYNE HOLDINGS, INC.;AJRD;United States of America;US;Aerospace & Defense;12882;Aerospace & Defense;BBB;5.6;Aggressive;6.10;Green;;;;;;;;;true;;
IID000000002156328;AEROPORTS DE PARIS S.A.;ADP;France;FR;Transportation Infrastructure;15355;Airport Services;AA;7.6;Aggressive;3.00;Green;;;;true;;;;true;;;
IID000000002156331;AEROSPACE COMMUNICATIONS HOLDINGS CO., LTD.;600677;China;CN;Technology Hardware, Storage & Peripherals;12898;Communications Equipment;;;Aggressive;;;;;;;;;;;true;;
IID000000002156333;AEROSTAR SA;ARS;Romania;RO;Aerospace & Defense;12882;Aerospace & Defense;;;Average;;;;;;;;;;;true;;
IID000000002156325;AEROVIRONMENT, INC.;AVAV;United States of America;US;Aerospace & Defense;12882;Aerospace & Defense;BBB;4.4;Average;6.00;Green;;;;;;;;;true;;
IID000000002124805;AEVIS VICTORIA SA;AEVS;Switzerland;CH;Health Care Providers & Services;12918;Health Care Facilities;;;;;;true;;;true;;;;true;;;
IID000000002173273;AF Global Ltd;L38;Singapore;SG;Hotels & Travel;15691;Hotels, Resorts & Cruise Lines;;;Conservative;;;;;;true;;;;;;;
IID000000002134327;AF Poyry AB;AF B;Sweden;SE;Professional Services;15695;Research & Consulting Services;A;7.1;Aggressive;6.60;Green;;;;;;;true;;;;
IID000000002132056;AFFILIATED MANAGERS GROUP, INC.;AMG;United States of America;US;Asset Management & Custody Banks;15576;Asset Management & Custody Banks;BB;3.4;Average;6.10;Green;;;;;;;;;;;
IID000000002136571;AFK SISTEMA PAO;AFKS;Russia;RU;Telecommunication Services;15705;Wireless Telecommunication Services;B;2.4;Aggressive;4.70;Yellow;true;;true;true;;;;;true;;
IID000000002123719;AFLAC INCORPORATED;AFL;United States of America;US;Life & Health Insurance;15580;Life & Health Insurance;B;2.7;Aggressive;4.40;Green;;;;;;;;;;;
IID000000002133422;AFRICAN RAINBOW MINERALS LIMITED;ARI;South Africa;ZA;Metals and Mining - Non-Precious Metals;15679;Diversified Metals & Mining;BB;4.1;Aggressive;5.00;Orange;;;;;;;;;;;
IID000000002812761;AFTERPAY TOUCH GROUP LIMITED;APT;Australia;AU;Software & Services;15356;Data Processing & Outsourced Services;BBB;5.7;Aggressive;6.50;Green;;;;;;;;;;;
IID000000002137272;AG ANADOLU GRUBU HOLDING ANONIM SIRKETI;AGHOL;Turkey;TR;Industrial Conglomerates;12923;Industrial Conglomerates;;;Aggressive;;Green;true;;;true;;;;;;;
IID000000002617967;AG MORTGAGE INVESTMENT TRUST, INC.;MITT;United States of America;US;Asset Management & Custody Banks;15576;Mortgage REITs;B;2.6;Very Aggressive;2.60;Green;;;;;;;;;;;
IID000000002157962;AGC Inc.;5201;Japan;JP;Building Products;12894;Building Products;BBB;4.8;Aggressive;3.70;Orange;;;;;;;;;;;
IID000000002155545;AGCO CORPORATION;AGCO;United States of America;US;Construction & Farm Machinery & Heavy Trucks;12900;Agricultural & Farm Machinery;BBB;5.3;Average;5.20;Green;;;;;;;;;;;
IID000000002166854;AGEAS SA;AGS;Belgium;BE;Multi-Line Insurance & Brokerage;15581;Multi-line Insurance;BB;3.0;;7.80;Green;;;;;;;;;;;
IID000000002355563;AGENUS INC.;AGEN;United States of America;US;Biotechnology;12892;Biotechnology;B;2.4;Aggressive;3.40;Green;;;;;;;;;;;
IID000000002148937;AGGREKO PLC;AGK;United Kingdom;GB;Commercial Services & Supplies;12895;Diversified Support Services;A;7.0;Aggressive;7.30;Green;;;;;;;;;;;
IID000000002132917;AGILE GROUP HOLDINGS LIMITED;3383;Hong Kong;HK;Real Estate Development & Diversified Activities;13198;Real Estate Development;B;1.7;Average;5.30;Green;;;;true;;;;true;;;
IID000000002132970;AGILENT TECHNOLOGIES, INC.;A;United States of America;US;Health Care Equipment & Supplies;12917;Life Sciences Tools & Services;AAA;8.9;Aggressive;5.50;Green;;;;;;;;;;;
IID000000002133123;AGILYSYS, INC.;AGYS;United States of America;US;Software & Services;15356;Application Software;;;Average;6.70;Green;;;;;;;;;;;
IID000000002147773;AGL ENERGY LIMITED;AGL;Australia;AU;Utilities;15700;Multi-Utilities;BBB;4.3;Average;8.50;Green;;;;;;;;;;;
IID000000002286000;AGNC INVESTMENT CORP.;AGNC;United States of America;US;Asset Management & Custody Banks;15576;Mortgage REITs;B;2.6;;6.70;Green;;;;;;;;;;;
IID000000002133120;AGRANA Beteiligungs-Aktiengesellschaft;AGR;Austria;AT;Food Products;12915;Packaged Foods & Meats;AA;7.9;Average;4.20;Yellow;;;;true;;;;;;;
IID000000002156403;AGREE REALTY CORPORATION;ADC;United States of America;US;Real Estate Management & Services;15699;Retail REITs;BB;3.0;Average;5.20;Green;;;;;;;;;;;
IID000000002676689;AGRICULTURAL BANK OF CHINA LIMITED;601288;China;CN;Banks;15698;Diversified Banks;BB;3.7;Aggressive;4.00;Yellow;;;;;;;;;;;
IID000000002684915;AGROFRESH SOLUTIONS, INC.;AGFS;United States of America;US;Specialty Chemicals;12945;Fertilizers & Agricultural Chemicals;B;2.6;Very Aggressive;4.80;Green;;;;;;;;;;;
IID000000002140827;AGTech Holdings Limited;8279;Hong Kong;HK;Software & Services;15356;IT Consulting & Other Services;B;1.9;;7.20;Green;;;;true;;true;;true;;;
IID000000002704004;AHA World AB;AHA;Sweden;SE;;;Casinos & Gaming;;;;;;;;;;;true;;;;;
IID000000002124594;AHJIKAN CO.,LTD.;2907;Japan;JP;Food Products;12915;Packaged Foods & Meats;;;Average;;;;;;true;;;;;;;
